Cafe Name,Time of Day,Estimated Speaker Age,Speaker Gender,Listener 1 Age,Listener1 Gender,Listener 2 Age,Listener 2 Gender,"Content Words (one word, not phrases)",Theme/Topic,"Formality (Informal, Neutral, Formal)",opt: clothing,opt: orders,opt: occupation,opt: native speaker?,Other notable details,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,therapist,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,school director,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,grounded,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,serious,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,concerns,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,choices,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,questions,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,angry,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,argument,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,self,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,struggle,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,training,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,silver lining,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,behavioral,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,,Female,55,Male,55,Female,lie,family conflict,Informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,home,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,problem,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,yelling,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,teenager,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,liar,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,judge,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,heal,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,sobbing,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,frustration,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,separation,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,accountable,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,mistake,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,change,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,bottom line,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,storming,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,court,family conflict,informal,"baseball cap, jeans,",,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,reasonable,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,doubt,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,consequences,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,family,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,bottom line,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,fist fight,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,abuse,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,court,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,fuck,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,responsibility,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,important,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,apologize,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,difference,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,control,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,house,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,choices,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,distasteful,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,unpleaseant,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,chores,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,complicated,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,iPhone6,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,suggestions,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,page,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,strange,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,precedents,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,disagreement,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,feeling,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,hurt,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,cops,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,flipped,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,minor,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,alpha dog,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,controller,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,trust,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,proud,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,pattern,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,football,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,James,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,Sam,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,trouble,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,prove,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,hit,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,focus,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,change,family conflict,informal,,,,,,,,,,,,,,,
Corner Bakery,3:00-5:00pm,55,Female,55,Male,55,Female,tolerated,family conflict,informal,,,,,,,,,,,,,,,
